Id;Name;Name2
CUPRE_TOR;Cupressus torulosa D. Don;(Cupressus torulosa D. Don)
CURCU;Curcuma L.;(Curcuma L.)
CURCU_ALI;Curcuma alismatifolia Gagnep.;(Curcuma alismatifolia Gagnep.)
CURCU_AMA;Curcuma amada Roxb.;(Curcuma amada Roxb.)
CURCU_LON;Curcuma longa L.;(Curcuma longa L.)
CURIO;Curio P. V. Heath;(Curio P. V. Heath)
CURIO_ARO;hybrids between Curio articulatus (L. f.) P. V. Heath and Curio rowleyanus (H. Jacobsen) P. V. Heath;(hybrids between Curio articulatus (L. f.) P. V. Heath and Curio rowleyanus (H. Jacobsen) P. V. Heath)
CURIO_ART;Curio articulatus (L. f.) P. V. Heath;(Curio articulatus (L. f.) P. V. Heath)
CURIO_FIC;Curio ficoides (L.) P. V. Heath;(Curio ficoides (L.) P. V. Heath)
CURIO_HER;Curio herreanus (Dinter) P. V. Heath;(Curio herreanus (Dinter) P. V. Heath)
CURIO_ROW;Curio rowleyanus (H. Jacobsen) P. V. Heath;(Curio rowleyanus (H. Jacobsen) P. V. Heath)
CURIO_TAL;Curio talinoides (DC.) P. V. Heath;(Curio talinoides (DC.) P. V. Heath)
CUSCA;Cuscuta;(Cuscuta)
CUSCA_CAM;Cuscuta campestris Yunck.;(Cuscuta campestris Yunck.)
CUSCA_EPL;Cuscuta epilinum Weihe;(Cuscuta epilinum Weihe)
CUSCA_EPT;Cuscuta epithymum (L.) L.;(Cuscuta epithymum (L.) L.)
CUSCA_IND;Cuscuta indecora Choisy;(Cuscuta indecora Choisy)
CUSCA_PEN;Cuscuta pentagona Engelm.;(Cuscuta pentagona Engelm.)
CUSCA_PLA;Cuscuta planiflora Ten.;(Cuscuta planiflora Ten.)
CYAMO;Cyamopsis;(Cyamopsis)
CYAMO_TET;Cyamopsis tetragonoloba (L.) Taub.;(Cyamopsis tetragonoloba (L.) Taub.)
CYANO;Cyanotis;(Cyanotis)
CYANO_AXI;Cyanotis axillaris (L.) D. Don;(Cyanotis axillaris (L.) D. Don)
CYCAS;Cycas L.;(Cycas L.)
CYCLA;Cyclamen L.;(Cyclamen L.)
CYCLA_HED;Cyclamen hederifolium Aiton;(Cyclamen hederifolium Aiton)
CYCLA_PER;Cyclamen persicum Mill.;(Cyclamen persicum Mill.)
CYCLA_PPU;Cyclamen persicum Mill. x C. purpurascens Mill.;(Cyclamen persicum Mill. x C. purpurascens Mill.)
CYCLA_PUR;Cyclamen purpurascens Mill.;(Cyclamen purpurascens Mill.)
CYCLP;Cyclopia Vent.;(Cyclopia Vent.)
CYCLS;Cyclospermum;(Cyclospermum)
CYCLS_LEP;Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P. Wilson;(Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P. Wilson)
CYCND;?Cycnodes hort.;(?Cycnodes hort.)
CYCNO;Cycnoches Lindl.;(Cycnoches Lindl.)
CYDON;Cydonia Mill.;(Cydonia Mill.)
CYDON_OBL;Cydonia oblonga Mill.;(Cydonia oblonga Mill.)
CYEPI;hybrids between Cymbidium Sw. and Epipactis Zinn;(hybrids between Cymbidium Sw. and Epipactis Zinn)
CYEPI_GHE;hybrids between Cymbidium goeringii and Epipactis helleborine (L.) Crantz;(hybrids between Cymbidium goeringii and Epipactis helleborine (L.) Crantz)
CYMBA;Cymbalaria;(Cymbalaria)
CYMBA_MUR;Cymbalaria muralis P. Gaertn. et al.;(Cymbalaria muralis P. Gaertn. et al.)
CYMBI;Cymbidium Sw.;(Cymbidium Sw.)
CYMBI_GOE;Cymbidium goeringii Rchb. f.;(Cymbidium goeringii Rchb. f.)
CYMBI_KAN;Cymbidium kanran Makino;(Cymbidium kanran Makino)
CYMBI_NIS;Cymbidium ?nishiuchianum Makino ex J. M. H. Shaw;(Cymbidium ?nishiuchianum Makino ex J. M. H. Shaw)
CYMBO;Cymbopogon;(Cymbopogon)
CYMBO_CIT;Cymbopogon citratus (DC.) Stapf;(Cymbopogon citratus (DC.) Stapf)
CYMBO_REF;Cymbopogon refractus (R. Br.) A. Camus;(Cymbopogon refractus (R. Br.) A. Camus)
CYNAR;Cynara L.;(Cynara L.)
CYNAR_CAR;Cynara cardunculus L.;(Cynara cardunculus L.)
CYNOD;Cynodon;(Cynodon)
CYNOD_DAC;Cynodon dactylon (L.) Pers.;(Cynodon dactylon (L.) Pers.)
CYNOD_DAC_DAC;Cynodon dactylon (L.) Pers. var. dactylon;(Cynodon dactylon (L.) Pers. var. dactylon)
CYNOD_DAC_PUL;Cynodon dactylon ssp pulchellus;(Cynodon dactylon ssp pulchellus)
CYNOD_MAG;Cynodon ?magennisii Hurcombe;(Cynodon ?magennisii Hurcombe)
CYNOD_PLE;Cynodon plectostachyus (K. Schum.) Pilg.;(Cynodon plectostachyus (K. Schum.) Pilg.)
CYNOD_TRA;Cynodon transvaalensis Burtt Davy;(Cynodon transvaalensis Burtt Davy)
CYNOG;Cynoglossum;(Cynoglossum)
CYNOG_AMA;Cynoglossum amabile Stapf & J. R. Drumm.;(Cynoglossum amabile Stapf & J. R. Drumm.)
CYNOG_OFF;Cynoglossum officinale L.;(Cynoglossum officinale L.)
CYNOM;Cynometra;(Cynometra)
CYNOM_CAU;Cynometra cauliflora L.;(Cynometra cauliflora L.)
CYNOS;Cynosurus;(Cynosurus)
CYNOS_CRI;Cynosurus cristatus L.;(Cynosurus cristatus L.)
CYNOS_ECH;Cynosurus echinatus L.;(Cynosurus echinatus L.)
CYPER;Cyperus;(Cyperus)
CYPER_ALT;Cyperus alternifolius L.;(Cyperus alternifolius L.)
CYPER_COM;Cyperus compressus L.;(Cyperus compressus L.)
CYPER_DIF;Cyperus diffusus Vahl;(Cyperus diffusus Vahl)
CYPER_ESC;Cyperus esculentus L.;(Cyperus esculentus L.)
CYPER_FLA;Cyperus flavidus Retz.;(Cyperus flavidus Retz.)
CYPER_IRI;Cyperus iria L.;(Cyperus iria L.)
CYPER_MEL;Cyperus melanospermus (Nees) J. V. Suringar;(Cyperus melanospermus (Nees) J. V. Suringar)
CYPER_MON;Cyperus monophyllus Vahl;(Cyperus monophyllus Vahl)
CYPER_PAP;Cyperus papyrus L.;(Cyperus papyrus L.)
CYPER_ROT;Cyperus rotundus L.;(Cyperus rotundus L.)
CYPRI;Cypripedium L.;(Cypripedium L.)
CYRTA;Cyrtanthus Aiton;(Cyrtanthus Aiton)
CYTHE;Cyathea Sm.;(Cyathea Sm.)
CYTHE_BRO;Cyathea brownii;(Cyathea brownii)
CYTHE_COO;Cyathea cooperi (Hook. ex F. Muell.) Domin;(Cyathea cooperi (Hook. ex F. Muell.) Domin)
CYTHU;Cyathula;(Cyathula)
CYTHU_ACH;Cyathula achyranthoides (Kunth) Moq.;(Cyathula achyranthoides (Kunth) Moq.)
CYTIS;Cytisus L.;(Cytisus L.)
CYTIS_CAN;Cytisus canariensis Steud.;(Cytisus canariensis Steud.)
CYTIS_FRA;Cytisus fragrans Lam.;(Cytisus fragrans Lam.)
CYTIS_PRA;Cytisus ?praecox Bean;(Cytisus ?praecox Bean)
CYTIS_SCO;Cytisus scoparius (L.) Link;(Cytisus scoparius (L.) Link)
